school-eng	address	address-match
102256	9B1AK1J	byhand
117065	2X6MXMZY	
117066	4D4TEC	byhand
117067	4D4SBT	
117068	2X6MTFQ8	
117069	2X6MTB00	
117070	9AQJZND	
117071	2X6MXJA5	
117072	4D5GWB	
117073	9C3H97E	byhand
117074	2X6MHB38	byhand
117075	2X6MTBMX	byhand
117076	2X6MYGEW	
117077	2X6MYCMV	byhand
117078	2X6MTG52	
117079	2X6MTH2N	byhand
117080	9C3QP0K	
117081	9B1AK8C	byhand
117082	9ACAQBC	byhand
117083	5T8FR7NZ	byhand
117084	9C3H2ZH	
117085	2X6MTK10	byhand
117086	2X6MV9QV	byhand
117087	9B09NDE	byhand
117088	9B1AJWD	
117089	9B1AK0C	
117090	9B1AJY1	byhand
117091	4D50QJ	
117092	4D50QH	
117093	5T8FR9MQ	
117094	9A2MXPG	
117095	2X6MTBHG	byhand
117096	5T8FR93G	
117097	5T8FVQCE	byhand
117098	5T8FR999	
117099	9B1AJ1X	byhand
117100	2X6MTE37	byhand
117101	9A2N6TH	byhand
117102	5T8GM330	
117103	2X6MTFDJ	
117104	2X6MTB4W	byhand
117105	2X6MTBHN	
117106	5T8JQF7A	
117107	5T8JQEZ2	byhand
117108	2X6MV9Y3	
117109	2X6MVAE8	
117110	9A2N6DJ	byhand
117111	9B09VV9	byhand
117112	9C3H2AA	
117113	2X6MXHN8	byhand
117114	5T8GM5Z2	
117115	2X6MXGR1	
117116	9C3H8GG	
117117	9B09WAB	byhand
117118	2X6MXHA3	
117119	9C3H4CS	
117120	9C3H3W0	byhand
117121	2X6MXM4C	byhand
117122	2X6MXMAX	byhand
117123	2X6MXKC1	byhand
117124	9C3H9JV	byhand
117125	9B09MHA	byhand
117126	9B09XQM	byhand
117127	5T8JQERT	byhand
117128	5T8GM5Z6	byhand
117129	2X6MXNM0	
117130	5T8FRBSD	byhand
117131	5T8FR9S8	
117132	5T8FR9SA	
117133	5T8FR9SP	
117134	2X6MXNAM	
117135	2X6MTANG	byhand
117136	5T8JAKCQ	
117137	5T8JAG03	byhand
117138	2X6MTAHR	byhand
117139	5T8JAKZZ	
117140	2X6MT9N0	
117141	2X6MTDHF	
117142	2X6MT9TB	
117143	5T8JAQW9	
117144	2X6MXHA2	
117145	2X6MTEC1	byhand
117146	2X6MTBMW	byhand
117147	2X6MXNX1	
117148	2X6MTEVR	
117149	9B09WDC	
117150	9B1AHCZ	
117151	9C3QN7X	
117152	9C3QN1A	byhand
117153	2X6MXNSQ	
117154	2X6MXFT3	byhand
117155	2X6MYG70	
117156	5T8FR0MP	
117157	5T8FR2HA	
117158	2X6MYDFF	
117159	2X6MYDDS	
117160	2X6MYE01	
117161	5T8FR161	byhand
117162	2X6MYFQH	
117163	2X6MYFQM	byhand
117164	9A2MY3R	byhand
117165	2X6MYFQJ	
117166	2X6MYCWQ	byhand
117167	5T8FR15R	
117168	2X6MYGF8	
117169	5T8FR6C3	
117170	5T8FRCN0	
117171	9B09WXE	byhand
117172	2X6MTH0Y	
117173	2X6MTH0W	byhand
117174	5T8JHBRH	
117175	2X6MTH11	
117176	9B09WXS	
117177	2X6MXGZ4	
117178	2X6MYKRX	
117179		byhand
117180	4D4SBR	
117181	9B1AJ1Y	
117182	9B1AHM6	
117183	9B1AHNW	
117184	9B1AJ14	byhand
117185	5T8JHBZT	byhand
117186	2X6MXM4M	byhand
117187	5T8JAMAR	byhand
117188	5T8JAM3C	
117189	9C3QMW8	byhand
117190	9A2MY3R	byhand
117191	5T8FR162	byhand
117192	5T8FR6C5	byhand
117193	2X6MYCZB	byhand
117194	5T8FR714	byhand
117195	9B1AHQY	
117196	2X6MTBHG	byhand
117197	9A2N6M9	
117198	2X6MZR56	byhand
117199	9C3QNHH	byhand
117200	9C3QP13	byhand
117201	4D4PHZ	byhand
117202	9A2N7AH	byhand
117203	4D5EGC	
117204	9C3QNHH	byhand
117205	5T8FDF2Q	
117206	9ADG70Z	byhand
117207	5T8FDGYV	byhand
117208	5T8FDGYV	byhand
117209	9C3QPDF	byhand
117210	9C3QPDF	byhand
117211	5T8JAR3E	
117212	5T8JAQYW	byhand
117213	2X6MTH0X	byhand
117214	2X6MVA2W	byhand
117215	5T8JQEN7	
117216	2X6MV4MW	
117217	2X6MTAYM	
117218	9B1RAP4	byhand
117219	9B1AHNH	
117220	9AE9DVC	byhand
117221	5T8FDH6F	
117222	2X6MTEAJ	
117223	2X6MXMBX	byhand
117224	5T8GM5YV	byhand
117225	5T8JAQST	byhand
117226	9C3QPE3	
117227	5T8JHBHC	byhand
117228	9B1AHFC	
117229	9AE9DWC	
117230	2X6MTKB4	byhand
117231	2X6MTSD9	byhand
117232	4D5476	
117233	4D559A	
